Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Time Period
Russia,2015,Ddos,Telecommunications,96.39,238356,Unknown,Zero-day,AI-based Detection,3,404.3951064793838,2015-2019
India,2021,Sql Injection,IT,98.09,826976,Nation-state,Zero-day,VPN,57,118.61287389234995,2020-2024
Uk,2019,Man-In-The-Middle,Retail,39.77,757694,Nation-state,Unpatched Software,Encryption,69,52.488207640551465,2015-2019
Usa,2017,Ddos,IT,74.12,403108,Hacker Group,Zero-day,VPN,64,183.87131984480587,2015-2019
Australia,2020,Ddos,Banking,92.95,942890,Insider,Weak Passwords,Antivirus,19,98.57989797325244,2020-2024
France,2022,Malware,Healthcare,20.33,794906,Unknown,Weak Passwords,AI-based Detection,36,25.575351047796847,2020-2024
Australia,2016,Sql Injection,Government,27.33,481293,Hacker Group,Unpatched Software,Antivirus,65,56.784536654387246,2015-2019
India,2016,Ddos,Education,21.01,602692,Hacker Group,Unpatched Software,VPN,29,34.86026029879275,2015-2019
Uk,2018,Man-In-The-Middle,Retail,13.66,455529,Hacker Group,Zero-day,Firewall,40,29.987113882980008,2015-2019
Japan,2017,Phishing,Telecommunications,75.84,383395,Hacker Group,Zero-day,VPN,31,197.81165638571187,2015-2019
Usa,2023,Ddos,Retail,59.69,113612,Hacker Group,Zero-day,VPN,70,525.384642467345,2020-2024
Australia,2019,Malware,Government,21.72,984411,Insider,Unpatched Software,Antivirus,17,22.063954994407823,2015-2019
Uk,2015,Phishing,IT,85.58,17229,Hacker Group,Weak Passwords,AI-based Detection,30,4967.20645423414,2015-2019
France,2018,Phishing,Healthcare,75.11,581303,Insider,Social Engineering,Encryption,51,129.20972367250815,2015-2019
India,2019,Man-In-The-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23,13.508882089974158,2015-2019
India,2020,Ddos,Banking,86.27,898655,Nation-state,Unpatched Software,AI-based Detection,10,95.99902075880065,2020-2024
Uk,2021,Malware,Healthcare,67.1,698852,Unknown,Weak Passwords,Antivirus,57,96.01460681231504,2020-2024
India,2018,Ddos,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56,251.2805675922699,2015-2019
Brazil,2015,Phishing,Banking,43.4,191625,Hacker Group,Social Engineering,VPN,65,226.4840182648402,2015-2019
Australia,2024,Phishing,Education,93.32,93185,Unknown,Unpatched Software,VPN,14,1001.4487310189409,2020-2024
India,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24,874.3062036445798,2015-2019
China,2015,Phishing,Government,42.73,310574,Nation-state,Zero-day,Firewall,65,137.58395744653447,2015-2019
India,2024,Ddos,Education,73.37,475719,Nation-state,Social Engineering,Firewall,52,154.22970282877077,2020-2024
Uk,2018,Malware,Retail,73.18,404060,Unknown,Weak Passwords,Antivirus,32,181.11171608177003,2015-2019
China,2024,Malware,Education,72.35,132726,Hacker Group,Zero-day,Firewall,55,545.1079667887226,2020-2024
Uk,2016,Ddos,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11,260.66068922872023,2015-2019
Australia,2022,Malware,Healthcare,67.16,566437,Unknown,Weak Passwords,Encryption,63,118.56570104000974,2020-2024
Russia,2017,Man-In-The-Middle,Education,83.43,313631,Nation-state,Weak Passwords,Antivirus,16,266.0132448641875,2015-2019
France,2016,Ddos,Banking,28.66,996004,Unknown,Zero-day,VPN,28,28.774984839418316,2015-2019
China,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29,63.14823313446535,2020-2024
Brazil,2015,Ddos,IT,43.51,940656,Unknown,Weak Passwords,AI-based Detection,41,46.25495398955623,2015-2019
Usa,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66,69.74889724066229,2015-2019
Uk,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63,2760.8488400833303,2015-2019
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10,63.531261014529875,2020-2024
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25,93.84498643127537,2015-2019
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56,111.28065296688216,2020-2024
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12,1078.0826047633404,2015-2019
Usa,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9,26.670830413632718,2020-2024
Russia,2022,Sql Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40,90.94106264443026,2020-2024
Brazil,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20,24.15221358862551,2015-2019
France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66,11.402755141561274,2020-2024
Brazil,2021,Ddos,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70,94.91298292349819,2020-2024
Australia,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5,64.03274251576063,2020-2024
Germany,2016,Man-In-The-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54,115.71609274734635,2015-2019
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27,72.9882379380203,2015-2019
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66,200.6939544492373,2020-2024
Japan,2019,Man-In-The-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36,64.05238281994801,2015-2019
Uk,2015,Ddos,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68,208.77991856822132,2015-2019
Brazil,2022,Ddos,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69,96.53960288854643,2020-2024
India,2020,Sql Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4,113.50098791259879,2020-2024
Australia,2017,Sql Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66,108.68262339759765,2015-2019
Uk,2023,Ddos,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3,148.4214467712034,2020-2024
Uk,2024,Ddos,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41,119.56267659639036,2020-2024
France,2023,Man-In-The-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42,207.57867032573344,2020-2024
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55,1.5813141034367926,2020-2024
Uk,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53,382.8327915765899,2020-2024
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1,446.23343715356594,2020-2024
France,2021,Ddos,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15,150.21704647728347,2020-2024
Uk,2021,Ddos,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36,290.1736486462058,2020-2024
Japan,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49,23.449627902493845,2020-2024
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11,48.86916866950145,2015-2019
Japan,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25,36.54396983240108,2020-2024
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18,493.20905810724344,2020-2024
Japan,2022,Sql Injection,IT,66.66,749545,Unknown,Social Engineering,AI-based Detection,30,88.93395326498076,2020-2024
Brazil,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35,1089.0261070766485,2015-2019
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41,11.74609460401533,2015-2019
Germany,2020,Sql Injection,Education,87.84,842506,Unknown,Weak Passwords,Antivirus,19,104.26038508924566,2020-2024
Brazil,2023,Man-In-The-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41,10.900723109854232,2020-2024
Uk,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10,11.225453843575078,2015-2019
Brazil,2020,Ddos,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37,108.64456798330109,2020-2024
Japan,2020,Ddos,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41,535.5288749798921,2020-2024
Russia,2018,Malware,Telecommunications,8.11,737958,Unknown,Social Engineering,VPN,35,10.989785326536197,2015-2019
Japan,2020,Man-In-The-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51,216.28124827801554,2020-2024
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55,325.22405375187077,2015-2019
Usa,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57,73.92906303151784,2020-2024
Australia,2023,Man-In-The-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29,121.54923337495204,2020-2024
Uk,2024,Phishing,Government,81.26,993903,Unknown,Weak Passwords,Firewall,25,81.75848146147058,2020-2024
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34,40.85824644443948,2020-2024
Germany,2022,Man-In-The-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25,80.48586169362163,2020-2024
Russia,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24,90.94630411201943,2020-2024
Uk,2023,Sql Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36,97.78599892668333,2020-2024
Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40,147.83010735080936,2015-2019
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38,189.56962207536898,2020-2024
France,2021,Man-In-The-Middle,Retail,94.4,357092,Unknown,Unpatched Software,VPN,71,264.35764452858086,2020-2024
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54,119.55538048626906,2020-2024
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35,180.30949943007283,2020-2024
Germany,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23,191.05050663904578,2020-2024
China,2023,Man-In-The-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62,115.64824509545551,2020-2024
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37,244.66663594894715,2015-2019
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22,418.48515011527695,2015-2019
France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62,50.65884434511338,2015-2019
France,2023,Ransomware,Retail,64.08,238068,Unknown,Unpatched Software,VPN,61,269.1667926810827,2020-2024
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32,965.9918621590396,2020-2024
India,2018,Ddos,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47,300.7555139130564,2015-2019
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58,37169.811320754714,2015-2019
Usa,2021,Sql Injection,Telecommunications,82.24,982969,Unknown,Unpatched Software,Encryption,64,83.66489685839534,2020-2024
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33,376.5082861863516,2020-2024
Japan,2016,Man-In-The-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12,35.7097789421543,2015-2019
Uk,2017,Sql Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37,92.67327420110743,2015-2019
Uk,2017,Man-In-The-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68,276.03102385495106,2015-2019
France,2017,Sql Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2,286.4118165493904,2015-2019
Germany,2021,Ddos,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55,10383.521110731763,2020-2024
Usa,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31,141.77638682741056,2015-2019
Germany,2022,Ddos,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72,79.15743601997465,2020-2024
China,2022,Ransomware,Telecommunications,16.16,236284,Unknown,Social Engineering,Antivirus,38,68.39227370452507,2020-2024
Usa,2020,Man-In-The-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1,74.4807079241183,2020-2024
Australia,2020,Ddos,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50,48.026722391251695,2020-2024
France,2015,Sql Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43,88.37954994214529,2015-2019
France,2018,Sql Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61,67.50176859157284,2015-2019
Brazil,2020,Ddos,Retail,17.4,342253,Unknown,Weak Passwords,Encryption,22,50.83958358290504,2020-2024
Usa,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35,118.89906418263547,2015-2019
Usa,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51,90.36300386669598,2015-2019
Brazil,2023,Sql Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21,73.29299377861797,2020-2024
Australia,2023,Ddos,Government,76.25,900661,Insider,Unpatched Software,Encryption,64,84.66004412314955,2020-2024
India,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64,531.1840256448276,2015-2019
Germany,2024,Phishing,IT,3.93,845785,Unknown,Unpatched Software,VPN,69,4.646570937058472,2020-2024
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12,828.0854324936691,2015-2019
Usa,2016,Malware,Retail,32.89,894935,Unknown,Social Engineering,AI-based Detection,31,36.75127243878047,2015-2019
Japan,2017,Sql Injection,Healthcare,21.66,277555,Unknown,Social Engineering,AI-based Detection,45,78.03858694673127,2015-2019
Australia,2024,Ransomware,Education,85.86,461012,Insider,Unpatched Software,AI-based Detection,38,186.242440543847,2020-2024
Russia,2021,Sql Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55,133.87486212874882,2020-2024
Australia,2016,Man-In-The-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26,195.10763927091355,2015-2019
Uk,2021,Sql Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11,39.57631140260151,2020-2024
France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20,283.7470774308898,2020-2024
Germany,2022,Sql Injection,Retail,25.1,559667,Unknown,Zero-day,Antivirus,69,44.84809717206839,2020-2024
Russia,2018,Ddos,Healthcare,67.27,335628,Hacker Group,Weak Passwords,Antivirus,20,200.43023823995614,2015-2019
Germany,2016,Ransomware,Education,29.89,385363,Unknown,Unpatched Software,Firewall,22,77.56323258849449,2015-2019
Usa,2021,Man-In-The-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32,16.832435850127883,2020-2024
Russia,2016,Sql Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11,160.9698800234919,2015-2019
Japan,2022,Ddos,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15,16.663979638493398,2020-2024
Australia,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54,67.15744990108071,2020-2024
China,2015,Malware,Retail,19.36,457790,Hacker Group,Zero-day,Encryption,39,42.2901330304288,2015-2019
China,2024,Ransomware,Telecommunications,70.47,549337,Unknown,Social Engineering,Antivirus,63,128.28191073967346,2020-2024
France,2023,Malware,Healthcare,53.34,714681,Unknown,Unpatched Software,Firewall,34,74.63469715859243,2020-2024
India,2022,Malware,Government,84.15,849745,Hacker Group,Social Engineering,Antivirus,51,99.0297089126738,2020-2024
Brazil,2019,Sql Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50,33.452102011967234,2015-2019
Uk,2017,Ddos,IT,9.01,617543,Unknown,Zero-day,Antivirus,43,14.590077128232366,2015-2019
Usa,2017,Sql Injection,Banking,9.08,895507,Unknown,Social Engineering,AI-based Detection,52,10.13950756387164,2015-2019
Uk,2020,Sql Injection,Healthcare,67.9,2233,Unknown,Social Engineering,Antivirus,45,30407.523510971787,2020-2024
Japan,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42,926.3311451495259,2020-2024
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64,34.69111781856773,2015-2019
Australia,2016,Man-In-The-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30,121.72263317474332,2015-2019
Australia,2017,Malware,Healthcare,77.32,563706,Nation-state,Unpatched Software,AI-based Detection,35,137.16369880753442,2015-2019
India,2022,Ddos,Healthcare,12.01,254980,Insider,Unpatched Software,AI-based Detection,58,47.10173346929171,2020-2024
Russia,2021,Malware,Education,0.54,869574,Unknown,Unpatched Software,Antivirus,16,0.6209937279633476,2020-2024
Russia,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21,337.3343052675532,2015-2019
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55,148.52480816235746,2020-2024
Brazil,2021,Malware,Healthcare,83.06,937717,Unknown,Unpatched Software,Encryption,56,88.57683074957583,2020-2024
India,2021,Man-In-The-Middle,Telecommunications,71.64,416077,Insider,Social Engineering,VPN,39,172.17966866709767,2020-2024
Australia,2019,Man-In-The-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63,424.4388450134891,2015-2019
Australia,2017,Man-In-The-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63,99.65361244345108,2015-2019
Japan,2018,Man-In-The-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71,68.21653791295911,2015-2019
India,2017,Man-In-The-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70,97.68453040919852,2015-2019
Australia,2022,Man-In-The-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38,114.94772854184191,2020-2024
Brazil,2016,Malware,Healthcare,83.88,155059,Unknown,Unpatched Software,Antivirus,29,540.9553782753661,2015-2019
Russia,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41,92.04619525790476,2020-2024
Germany,2022,Ddos,Telecommunications,20.55,239313,Nation-state,Social Engineering,AI-based Detection,6,85.87080517982726,2020-2024
Russia,2023,Ransomware,Telecommunications,60.08,874485,Hacker Group,Weak Passwords,Antivirus,48,68.70329393871822,2020-2024
Russia,2016,Sql Injection,Healthcare,46.95,90895,Unknown,Social Engineering,VPN,29,516.5300621596348,2015-2019
China,2015,Man-In-The-Middle,Retail,47.2,529593,Hacker Group,Zero-day,VPN,64,89.12504508178922,2015-2019
Germany,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72,76.89269601328087,2015-2019
Usa,2021,Ddos,Telecommunications,1.98,863623,Hacker Group,Weak Passwords,Firewall,24,2.2926670549533767,2020-2024
Usa,2018,Malware,Healthcare,14.28,755771,Insider,Weak Passwords,Antivirus,44,18.89461225688734,2015-2019
Japan,2021,Sql Injection,Telecommunications,66.23,164032,Unknown,Social Engineering,Firewall,5,403.7626804525947,2020-2024
Russia,2019,Man-In-The-Middle,Telecommunications,95.66,259993,Nation-state,Weak Passwords,Antivirus,58,367.9329828110757,2015-2019
Uk,2019,Phishing,Retail,90.13,232359,Unknown,Social Engineering,Firewall,17,387.89115119276636,2015-2019
Germany,2018,Phishing,Telecommunications,84.9,800031,Unknown,Unpatched Software,Encryption,10,106.12088781559714,2015-2019
Uk,2016,Phishing,Healthcare,71.19,925040,Unknown,Unpatched Software,Encryption,48,76.95883421257459,2015-2019
Brazil,2016,Malware,IT,99.29,273469,Insider,Social Engineering,AI-based Detection,67,363.0758879434232,2015-2019
Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58,28.62987735782834,2020-2024
Japan,2022,Ddos,Education,82.19,905203,Hacker Group,Weak Passwords,Antivirus,37,90.79731286794232,2020-2024
India,2023,Phishing,Telecommunications,11.72,512291,Insider,Zero-day,AI-based Detection,51,22.877622288894397,2020-2024
Uk,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9,64.96606554663379,2015-2019
Uk,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43,41.289178716059666,2015-2019
Brazil,2020,Malware,Banking,79.61,755029,Nation-state,Weak Passwords,Firewall,27,105.43965860913951,2020-2024
Brazil,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21,150.29188920630978,2015-2019
India,2016,Ransomware,Retail,29.48,403737,Insider,Zero-day,Firewall,26,73.0178309146796,2015-2019
China,2019,Ddos,Retail,7.87,86783,Nation-state,Weak Passwords,Antivirus,12,90.68596384084441,2015-2019
Australia,2022,Ddos,Telecommunications,86.77,390083,Nation-state,Social Engineering,VPN,72,222.4398397264172,2020-2024
Brazil,2023,Man-In-The-Middle,Banking,20.15,376174,Unknown,Social Engineering,Firewall,43,53.56563717853972,2020-2024
Uk,2022,Ransomware,Government,31.94,485080,Insider,Weak Passwords,Antivirus,61,65.844809103653,2020-2024
France,2024,Ransomware,Banking,78.82,759804,Unknown,Unpatched Software,AI-based Detection,47,103.73727961421629,2020-2024
Japan,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57,229.2738148479428,2015-2019
Usa,2017,Malware,IT,75.53,992377,Nation-state,Unpatched Software,Antivirus,33,76.11018796284074,2015-2019
Usa,2021,Man-In-The-Middle,Education,36.06,48987,Unknown,Zero-day,VPN,58,736.1136628085002,2020-2024
Russia,2021,Sql Injection,Telecommunications,68.07,538602,Insider,Unpatched Software,VPN,19,126.38274644357058,2020-2024
Japan,2015,Malware,Healthcare,26.29,808392,Hacker Group,Weak Passwords,AI-based Detection,4,32.52135102771923,2015-2019
Uk,2015,Ransomware,IT,26.12,21580,Unknown,Weak Passwords,AI-based Detection,14,1210.379981464319,2015-2019
France,2020,Phishing,Government,94.44,209658,Insider,Zero-day,VPN,11,450.4478722490914,2020-2024
Japan,2017,Man-In-The-Middle,Retail,74.12,559889,Nation-state,Zero-day,VPN,10,132.38338313487137,2015-2019
France,2015,Sql Injection,Government,12.92,344516,Insider,Zero-day,VPN,28,37.50188670482648,2015-2019
Australia,2024,Phishing,Retail,73.43,897569,Hacker Group,Social Engineering,AI-based Detection,66,81.80986642809634,2020-2024
Australia,2023,Sql Injection,Healthcare,99.19,538688,Nation-state,Zero-day,Encryption,36,184.13255910657003,2020-2024
China,2015,Ddos,Government,22.71,303975,Nation-state,Social Engineering,Firewall,2,74.71009129040218,2015-2019
Japan,2022,Sql Injection,Telecommunications,67.62,822256,Insider,Unpatched Software,Firewall,60,82.23716214901442,2020-2024
Russia,2019,Man-In-The-Middle,Healthcare,53.82,521877,Unknown,Zero-day,Encryption,66,103.12774849246087,2015-2019
